model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std
Logistic regression,0.48273216938481955,0.010485291742048392,0.4640289901975307,0.01831559106485566,0.4007582167054008,0.012186128283112394,0.5206498023090805,0.01054186974793943,0.6710570538985777,0.008321797196571478
Random Forest,0.7127600917249408,0.004729753102115075,0.5840113066258972,0.02467294065963877,0.5823491699439124,0.018580807312721766,0.7083912728016322,0.005734730403236961,0.32630729997290236,0.011168817793547127
Extra Trees,0.7219773558068721,0.00728955597987083,0.5916791694649811,0.030225380239910095,0.5910904944918103,0.02475572992248919,0.7194041129121963,0.00861722482308605,0.3163587212060909,0.007507407769065521
Gradient boosting,0.6919802797803485,0.007385774646424173,0.44554453267031907,0.012273845862455631,0.46358974916415024,0.018779490277516228,0.6346214282286328,0.010430337648644874,0.3560149775989358,0.006412810472617493
ANN / MLP,0.6978346530485904,0.010005320442762826,0.4953021240621102,0.01334395678445229,0.5173122267280694,0.017207074582175075,0.6757585619650749,0.009321980755164095,0.34459927104163074,0.013821956842619646
