encoded_feature,shap_mean_abs,feature
numeric__Temperature,0.023091221660766537,Temperature
numeric__RH,0.017329080030977807,RH
numeric__CLO,0.023232542133942664,CLO
numeric__CO2,0.008785223164890511,CO2
numeric__Lighting,0.017353646147342465,Lighting
numeric__Sound,0.007713506391849237,Sound
numeric__Age,0.029960376140995185,Age
numeric__EA,0.010868764250783798,EA
numeric__Ttrend,0.004976040739608765,Ttrend
numeric__Vote hour,0.007644662774733421,Vote hour
categorical__Student_Student,0.007052322890057982,Student
categorical__Student_Teacher/staff,0.003867818706182154,Student
categorical__Student_Unknown,0.002351767480742514,Student
categorical__Gender_Female,0.016045492709606302,Gender
categorical__Gender_Male,0.0145047538398731,Gender
categorical__LocationBack_False,0.011824785558236276,LocationBack
categorical__LocationBack_True,0.008422715107634256,LocationBack
categorical__LocationFront_False,0.02865797707364916,LocationFront
categorical__LocationFront_True,0.008167143968288442,LocationFront
categorical__LocationLeft_False,0.013823649784223811,LocationLeft
categorical__LocationLeft_True,0.007799475766259277,LocationLeft
categorical__LocationRight_False,0.009154100974793475,LocationRight
categorical__LocationRight_True,0.007708188187155565,LocationRight
categorical__LocationMiddle_False,0.007281064847699649,LocationMiddle
categorical__LocationMiddle_True,0.01244450076012973,LocationMiddle
categorical__Vote weekday_Friday,0.00521827959942113,Vote weekday
categorical__Vote weekday_Monday,0.007718984609925258,Vote weekday
categorical__Vote weekday_Saturday,7.93361120298407e-06,Vote weekday
categorical__Vote weekday_Thursday,0.0050061585922891415,Vote weekday
categorical__Vote weekday_Tuesday,0.013095881747832792,Vote weekday
categorical__Vote weekday_Wednesday,0.004687361532960244,Vote weekday
categorical__Moment_End,0.006959145368050098,Moment
categorical__Moment_Start,0.005633265602619215,Moment
categorical__AC on/off_False,0.03122752385795257,AC on/off
categorical__AC on/off_True,0.00012474061318845696,AC on/off
