feature,builtin_importance,builtin_importance_percent,index,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std,shap_mean_abs,shap_importance_percent,permutation_normalized,builtin_normalized,shap_normalized,mean_normalized_importance,shap_sample_rows,shap_sample_note
Age,0.09255596355334567,9.255596355334566,1,0.10993294893776884,,0.027080284655084903,7.272135441882289,0.6371177829632925,1.0,0.7765194933551701,0.8045457587728208,100,stratified deterministic sample from final model dataset
Vote weekday,0.09034199450924554,9.034199450924554,29,0.09695975272117385,,0.026496247585265226,7.115298217720717,0.5619314617435852,0.9760796715943206,0.7597723957772332,0.7659278430383797,100,stratified deterministic sample from final model dataset
CLO,0.06857669937097442,6.857669937097441,3,0.06969695263533493,,0.018918181699328962,5.080285579857311,0.40392956225943877,0.7409214570107033,0.542473502604248,0.5624415072914634,100,stratified deterministic sample from final model dataset
RH,0.06504001701416952,6.50400170141695,21,0.042126822171364764,,0.013047762068825162,3.503844002619601,0.24414652571816586,0.7027101714162695,0.3741408822008247,0.44033252644508664,100,stratified deterministic sample from final model dataset
Temperature,0.052077705572941856,5.207770557294184,25,0.05287138779871592,,0.013298804384164973,3.571258867051317,0.30641679043449505,0.562661805610465,0.381339449498077,0.4168060151810124,100,stratified deterministic sample from final model dataset
Lighting,0.05183578232124591,5.18357823212459,9,0.03965936480463039,,0.009935074322037421,2.667963317787971,0.22984634563348386,0.560048000487508,0.28488544257402565,0.3582599295650058,100,stratified deterministic sample from final model dataset
Gender,0.049623442803797234,4.962344280379722,7,0.17254729325943585,,0.032160115300776226,8.636272375736683,1.0,0.5361452779344272,0.9221821985136852,0.8194424921493709,100,stratified deterministic sample from final model dataset
EA,0.048897930871333095,4.889793087133308,6,0.023203944781644892,,0.01075964937573255,2.889394574838749,0.1344787527136475,0.5283066481518528,0.30852989871929826,0.32377176652826617,100,stratified deterministic sample from final model dataset
LocationFront,0.04599786654812857,4.599786654812856,13,0.08975107171902086,,0.02193722151163711,5.891018062885966,0.5201534606751229,0.49697355829067874,0.6290436142309148,0.5487235443989055,100,stratified deterministic sample from final model dataset
CO2,0.04125611350020713,4.125611350020712,5,0.032844475577960885,,0.005420692845720499,1.4556720161920402,0.19035056973381276,0.44574235863720124,0.15543683221226762,0.26384325352776056,100,stratified deterministic sample from final model dataset
LocationMiddle,0.040931158033707185,4.093115803370718,17,0.06594859221457927,,0.012866504507006823,3.4551691250768792,0.3822058924762231,0.44223145070621034,0.36894337294777696,0.39779357204340343,100,stratified deterministic sample from final model dataset
Sound,0.03941109674646384,3.9411096746463836,22,0.023062784688169913,,0.005937948143069087,1.5945756735302106,0.13366065762326126,0.42580829190707753,0.17026898137717617,0.24324597696917163,100,stratified deterministic sample from final model dataset
LocationRight,0.038728110171136074,3.8728110171136065,19,0.044860424102566965,,0.016288434751629464,4.374093742322238,0.25998914996085426,0.4184291177392875,0.4670662536225989,0.3818281737742469,100,stratified deterministic sample from final model dataset
LocationBack,0.03778377235301966,3.7783772353019653,11,0.04998535181566499,,0.015403326097212625,4.136406801520718,0.2896907327344094,0.40822623310752487,0.4416860136197308,0.37986765982055504,100,stratified deterministic sample from final model dataset
Vote hour,0.03571994041671419,3.5719940416714184,28,0.02684048622511992,,0.004977644645035033,1.3366959210843408,0.15555437421300802,0.38592802716733215,0.1427325505287441,0.22807165063636145,100,stratified deterministic sample from final model dataset
LocationLeft,0.03474145884891196,3.474145884891195,15,0.08882475648900101,,0.025955895633764582,6.970192188458197,0.514784989153364,0.3753562441050957,0.7442779565954808,0.5448063966179801,100,stratified deterministic sample from final model dataset
Moment,0.02967150981708773,2.9671509817087722,20,0.0271380375613266,,0.00915620347930441,2.458805462461516,0.15727883671013507,0.32057912508237485,0.26255154173467143,0.24680316784239378,100,stratified deterministic sample from final model dataset
AC on/off,0.025949889373388595,2.594988937338859,0,0.08919311975697108,,0.02330294019794693,6.257767947122861,0.5169198430882572,0.2803697177052464,0.6682052107896812,0.48849825719439494,100,stratified deterministic sample from final model dataset
n_imputed_predictors,0.024565459152329935,2.4565459152329927,30,0.027713577210923268,,0.014851047278073294,3.98809793307203,0.16061438396054198,0.26541195412191193,0.42584957488612474,0.2839586376561929,100,stratified deterministic sample from final model dataset
Ttrend_was_imputed,0.02059675007158571,2.0596750071585705,27,0.15142158402329353,,0.034873927682197575,9.365039131807226,0.8775656874293677,0.22253293338267224,1.0,0.7000328736040133,100,stratified deterministic sample from final model dataset
Ttrend,0.01608579247884467,1.6085792478844667,26,0.009819248856044238,,0.0022992056580909363,0.617428330881294,0.05690757977455127,0.17379531108844698,0.06592907111132863,0.09887732065810896,100,stratified deterministic sample from final model dataset
Lighting_was_imputed,0.013681019031953014,1.368101903195301,10,0.017119102434890676,,0.009048457489734759,2.4298713711308695,0.0992139726535786,0.14781347961514987,0.2594619559973972,0.1688298027553752,100,stratified deterministic sample from final model dataset
Student,0.011634051612518983,1.163405161251898,24,0.02810707767366094,,0.009314477903918783,2.501308451903527,0.16289492082266488,0.12569748253783308,0.2670900160372138,0.18522747313257057,100,stratified deterministic sample from final model dataset
Gender_was_imputed,0.00987080976809077,0.9870809768090768,8,0.005481666875340685,,0.0034186343605647398,0.9180395410515487,0.03176906905806195,0.10664693434261119,0.09802837213285508,0.0788147918445094,100,stratified deterministic sample from final model dataset
Age_was_imputed,0.007757944413828808,0.7757944413828807,2,0.0020018236854857374,,0.0021574820686801194,0.5793699001582753,0.011601594250892524,0.08381895791466133,0.06186518732105618,0.05242857982887001,100,stratified deterministic sample from final model dataset
CLO_was_imputed,0.002490158510772986,0.24901585107729857,4,0.0029190433564145746,,0.0008290913769097194,0.22264406978646864,0.01691735234597744,0.026904355107683096,0.023773960434429458,0.022531889296030002,100,stratified deterministic sample from final model dataset
Sound_was_imputed,0.0019872187786707926,0.1987218778670792,23,0.005309472087728029,,0.0010602577344092923,0.2847214475819719,0.03077111200895455,0.021470456385292092,0.03040259026947894,0.027548052887908524,100,stratified deterministic sample from final model dataset
LocationBack_was_imputed,0.0011504625997333616,0.11504625997333613,12,0.000730867545577496,,0.0007128325647369786,0.19142394639408863,0.004235752017729946,0.012429913271555751,0.020440271919840707,0.012368645736375467,100,stratified deterministic sample from final model dataset
LocationMiddle_was_imputed,0.000424415690538502,0.042441569053850194,18,-0.00015579434192103392,,0.00046635548208183333,0.12523502883957288,0.0,0.004585503453744342,0.013372611376948465,0.005986038276897602,100,stratified deterministic sample from final model dataset
LocationFront_was_imputed,0.0003185130841609943,0.03185130841609942,14,0.0,,0.00014990962915373488,0.04025670856615625,0.0,0.003441302666331335,0.004298616161616366,0.0025799729426492337,100,stratified deterministic sample from final model dataset
LocationLeft_was_imputed,0.00029695298115347597,0.02969529811534759,16,0.0006197949701357564,,0.00025960698940626726,0.069714820677381,0.003592029515084048,0.003208361403771933,0.007444156900594575,0.004748182606483519,100,stratified deterministic sample from final model dataset
