experiment,variant,cv_splits,rows,predictors,same_population_as_main,macro_f1_mean,macro_f1_delta_vs_main,accuracy_mean,accuracy_delta_vs_main,balanced_accuracy_mean,balanced_accuracy_delta_vs_main,ordinal_mae_mean,ordinal_mae_delta_vs_main,note
baseline,main_all_school_extra_trees,2,6834,20,True,0.557644,0.0,0.69681,0.0,0.555922,0.0,0.346795,0.0,Tuned Extra Trees on the full imputed all-school dataset.
feature_engineering,threshold_flags_co2_1000_t18_t24,2,6834,23,True,0.555622,-0.002023,0.689201,-0.007609,0.559457,0.003535,0.357038,0.010243,Adds binary CO2 and temperature threshold indicators.
missingness_indicators,imputation_indicators,2,6834,31,True,0.573074,0.01543,0.702809,0.005999,0.575454,0.019533,0.337723,-0.009072,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count."
soft_voting,soft_vote_et_0.90_rf_0.10,2,6834,20,True,0.561617,0.003973,0.701054,0.004243,0.559071,0.003149,0.342406,-0.00439,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.
soft_voting,soft_vote_et_0.86_rf_0.14,2,6834,20,True,0.562512,0.004868,0.702956,0.006146,0.559526,0.003604,0.340796,-0.005999,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.
soft_voting,soft_vote_et_0.80_rf_0.20,2,6834,20,True,0.562862,0.005218,0.70398,0.00717,0.559518,0.003596,0.339918,-0.006877,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.
soft_voting,soft_vote_et_0.95_rf_0.05,2,6834,20,True,0.558862,0.001218,0.698273,0.001463,0.556855,0.000933,0.345478,-0.001317,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.
ordinal_classification,ordinal_extra_trees_decomposition,2,6834,20,True,0.554283,-0.003362,0.708809,0.011999,0.550053,-0.005869,0.336406,-0.010389,Two-threshold ordinal decomposition with fold-internal binary classifiers.
ordinal_classification,ordinal_random_forest_decomposition,2,6834,20,True,0.518375,-0.03927,0.688177,-0.008633,0.524951,-0.030971,0.366989,0.020193,Two-threshold ordinal decomposition with fold-internal binary classifiers.
class_weight_search,class_weight_balanced,2,6834,20,True,0.557644,0.0,0.69681,0.0,0.555922,0.0,0.346795,0.0,Baseline Extra Trees balanced class weights.
class_weight_search,class_weight_equal_1_1_1,2,6834,20,True,0.535763,-0.021882,0.724027,0.027217,0.505542,-0.05038,0.315774,-0.031021,"Manual equal class weights: {0: 1, 1: 1, 2: 1}."
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,6834,20,True,0.549052,-0.008593,0.717589,0.020778,0.523712,-0.03221,0.321773,-0.025022,"Manual class weights: {0: 2, 1: 1.5, 2: 1}."
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,6834,20,True,0.564975,0.007331,0.718613,0.021803,0.545306,-0.010616,0.317091,-0.029704,"Manual class weights: {0: 3, 1: 2, 2: 1}."
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,6834,20,True,0.55695,-0.000695,0.708077,0.011267,0.543428,-0.012494,0.332748,-0.014047,"Manual class weights: {0: 4, 1: 2, 2: 1}."
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,6834,20,True,0.566912,0.009268,0.711004,0.014194,0.556014,9.2e-05,0.328212,-0.018584,"Manual class weights: {0: 5, 1: 2, 2: 1}."
class_weight_search,class_weight_stronger_dissatisfied,2,6834,20,True,0.541747,-0.015897,0.715979,0.019169,0.53148,-0.024442,0.330992,-0.015803,Stronger dissatisfied weight only.
class_weight_search,class_weight_stronger_neutral,2,6834,20,True,0.53089,-0.026754,0.71393,0.01712,0.511993,-0.043929,0.315335,-0.03146,Stronger neutral weight only.
class_weight_search,class_weight_stronger_dissatisfied_neutral,2,6834,20,True,0.561473,0.003829,0.701785,0.004975,0.547827,-0.008095,0.333626,-0.013169,Stronger dissatisfied and neutral weights.
class_weight_threshold_tuning,best_class_weight_nested_threshold,2,6834,20,True,0.570942,0.013297,0.700615,0.003805,0.567968,0.012046,0.33743,-0.009365,Nested inner-fold probability multiplier tuning applied to class_weight_dissatisfied_5_neutral_2.
complete_case_filter,complete_main_ieq_sensors,2,5349,20,False,0.572945,0.015301,0.694149,-0.002661,0.573958,0.018036,0.34754,0.000745,"Rows with originally observed Temperature, RH, CO2, Lighting, and Sound."
complete_case_filter,complete_lighting_sound_ttrend,2,2314,20,False,0.564016,0.006371,0.666811,-0.029999,0.566475,0.010553,0.375972,0.029177,"Rows with originally observed Lighting, Sound, and Ttrend."
train_fold_class_balancing,random_oversample_to_50pct_majority,2,6834,20,True,0.560748,0.003104,0.692274,-0.004536,0.571002,0.01508,0.355136,0.008341,Randomly duplicates minority-class training records up to 50 percent of the majority-class count.
train_fold_class_balancing,synthetic_interpolate_to_50pct_majority,2,6834,20,True,0.561187,0.003542,0.693884,-0.002927,0.577194,0.021272,0.363623,0.016828,Creates fold-internal synthetic minority-class training rows up to 50 percent of the majority-class count.
train_fold_class_balancing,synthetic_interpolate_to_majority,2,6834,20,True,0.559362,0.001717,0.69403,-0.00278,0.573837,0.017915,0.359965,0.013169,Creates fold-internal synthetic minority-class training rows up to the majority-class count.
