Experiment,Macro F1,Accuracy,Bal. acc.,Ordinal MAE
Main all-school Extra Trees baseline,0.592,0.723,0.594,0.314
Threshold T/CO2 feature engineering,-0.006,-0.005,-0.006,+0.006
Imputation-indicator columns,+0.012,+0.007,+0.012,-0.007
Soft-vote ET 0.80 + RF 0.20,+0.002,+0.001,+0.001,0.000
Ordinal Extra Trees decomposition,-0.006,+0.007,-0.008,-0.003
Ordinal Random Forest decomposition,-0.044,-0.011,-0.040,+0.023
Best class-weight Extra Trees,+0.005,+0.013,-0.016,-0.017
Best class-weight + nested threshold,+0.002,-0.001,-0.009,-0.004
Main-sensor complete-case filter,+0.014,-0.002,+0.015,+0.002
Lighting + Sound + Ttrend complete-case filter,+0.009,-0.021,+0.009,+0.018
Best synthetic sampling screen,+0.003,-0.006,+0.015,+0.013
Ten-fold validation check,+0.003,+0.001,+0.004,-0.001
