experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,base_calibration_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,log_loss,brier_ovr,recall_dissatisfied,recall_neutral,recall_satisfied
calibrated_threshold_tuning,calibrated_sigmoid_extra_trees_nested_threshold,1,5,Extra Trees,6834,5467,20,14.529357599996729,0.4193498000095133,14.948707400006242,Nested probability multiplier tuning applied to calibrated_sigmoid_extra_trees.,calibrated_sigmoid_extra_trees,2.5,1.0,1.0,0.40359733064453057,0.6730065837600585,0.4300234319155687,0.38258961228968547,0.8501293412500392,0.16962246693150276,0.29896907216494845,0.0,0.9911012235817576
calibrated_threshold_tuning,calibrated_sigmoid_extra_trees_nested_threshold,2,5,Extra Trees,6834,5467,20,16.477266399975633,0.4866129000147339,16.963879299990367,Nested probability multiplier tuning applied to calibrated_sigmoid_extra_trees.,calibrated_sigmoid_extra_trees,2.5,1.0,1.0,0.3479528589344816,0.6656912948061449,0.3864622394489486,0.3972201901975128,0.859288947064454,0.17137024629226405,0.16494845360824742,0.0,0.9944382647385984
calibrated_threshold_tuning,calibrated_sigmoid_extra_trees_nested_threshold,3,5,Extra Trees,6834,5467,20,15.61146389998612,0.6283931999932975,16.239857099979417,Nested probability multiplier tuning applied to calibrated_sigmoid_extra_trees.,calibrated_sigmoid_extra_trees,2.5,1.0,1.0,0.3659232848620433,0.6686174103877103,0.39714230015022417,0.3913679590343819,0.8342096497720793,0.1651961184407124,0.1958762886597938,0.0,0.9955506117908788
calibrated_threshold_tuning,calibrated_sigmoid_extra_trees_nested_threshold,4,5,Extra Trees,6834,5467,20,15.964036500023212,0.47343489999184385,16.437471400015056,Nested probability multiplier tuning applied to calibrated_sigmoid_extra_trees.,calibrated_sigmoid_extra_trees,2.5,1.0,1.0,0.40597616543988785,0.6722750548646672,0.4327182933308869,0.3840526700804682,0.8367196217988643,0.16578474594377493,0.30927835051546393,0.0,0.9888765294771968
calibrated_threshold_tuning,calibrated_sigmoid_extra_trees_nested_threshold,5,5,Extra Trees,6834,5468,20,15.22596350000822,0.5163204000273254,15.742283900035545,Nested probability multiplier tuning applied to calibrated_sigmoid_extra_trees.,calibrated_sigmoid_extra_trees,2.5,1.0,1.0,0.35610046265697287,0.6676427525622255,0.39397942157953275,0.3931185944363104,0.8496233124491898,0.16900262693611542,0.1875,0.0,0.9944382647385984
calibrated_threshold_tuning,calibrated_isotonic_extra_trees_nested_threshold,1,5,Extra Trees,6834,5467,20,15.030894299998181,0.47656469998764805,15.507458999985829,Nested probability multiplier tuning applied to calibrated_isotonic_extra_trees.,calibrated_isotonic_extra_trees,2.5,2.0,1.0,0.5757710505902971,0.7125091441111924,0.5606095407562771,0.3306510607168983,0.7865044316351457,0.16027864445689446,0.4329896907216495,0.3611859838274933,0.8876529477196885
calibrated_threshold_tuning,calibrated_isotonic_extra_trees_nested_threshold,2,5,Extra Trees,6834,5467,20,14.855822899990017,0.41892580001149327,15.27474870000151,Nested probability multiplier tuning applied to calibrated_isotonic_extra_trees.,calibrated_isotonic_extra_trees,2.5,2.0,1.0,0.5372540608529722,0.7117776152158011,0.5160633697710165,0.3262618873445501,0.7864344794173224,0.15980622818433138,0.30927835051546393,0.32345013477088946,0.9154616240266963
calibrated_threshold_tuning,calibrated_isotonic_extra_trees_nested_threshold,3,5,Extra Trees,6834,5467,20,14.172320999990916,0.48175210002227686,14.654073100013193,Nested probability multiplier tuning applied to calibrated_isotonic_extra_trees.,calibrated_isotonic_extra_trees,2.5,2.0,1.0,0.5956812645113095,0.7388441843452817,0.5607150458351051,0.2970007315288954,0.7928993993950864,0.1619183085913356,0.32989690721649484,0.4501347708894879,0.9021134593993326
calibrated_threshold_tuning,calibrated_isotonic_extra_trees_nested_threshold,4,5,Extra Trees,6834,5467,20,16.44380499998806,0.4946500000078231,16.938454999995884,Nested probability multiplier tuning applied to calibrated_isotonic_extra_trees.,calibrated_isotonic_extra_trees,2.5,2.0,1.0,0.5858579313456819,0.7212874908558888,0.5565906833307405,0.31894659839063644,0.7826419809014001,0.15936134009244365,0.38144329896907214,0.39622641509433965,0.8921023359288098
calibrated_threshold_tuning,calibrated_isotonic_extra_trees_nested_threshold,5,5,Extra Trees,6834,5468,20,14.99824460002128,0.5027884999872185,15.501033100008499,Nested probability multiplier tuning applied to calibrated_isotonic_extra_trees.,calibrated_isotonic_extra_trees,2.5,2.0,1.0,0.513001811451259,0.7049780380673499,0.4926453276093599,0.3294289897510981,0.8050182973656334,0.16393409597597042,0.2604166666666667,0.29649595687331537,0.9210233592880979
