variant,fold,rows,base_feature_count,engineered_feature_count,predictors,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
baseline,1,6834,21,0,21,6.544027399999322,0.15982319999602623,6.703850599995349,0.7344550109729334,0.6311862153410793,0.623904672436555,0.7341906034611042,0.30724213606437456
baseline,2,6834,21,0,21,6.663601699998253,0.17150469998887274,6.835106399987126,0.7322604242867593,0.6085138642173745,0.6056749939838503,0.7314877334655263,0.2991953182150695
baseline,3,6834,21,0,21,6.389333300001454,0.13964740000665188,6.5289807000081055,0.7366495976591075,0.6073462197277827,0.609384978555963,0.7351939428960325,0.30285296269202633
baseline,4,6834,21,0,21,6.442935700004455,0.13468100001045968,6.577616700014914,0.7227505486466715,0.5995726693997634,0.5992043616680665,0.7209211073397783,0.32040965618141914
baseline,5,6834,21,0,21,6.6815944999980275,0.12650950001261663,6.808104000010644,0.7086383601756955,0.5381681265597095,0.5447307084311778,0.7032846137989134,0.32210834553440704
threshold_flags_co2_1000_t18_t24,1,6834,21,3,24,6.78035619998991,0.14122479999787174,6.921580999987782,0.7300658376005852,0.6319266672937213,0.6226708466365588,0.729526090065678,0.3108997805413314
threshold_flags_co2_1000_t18_t24,2,6834,21,3,24,6.509165899988147,0.12061040000116918,6.629776299989317,0.7264081931236284,0.6095681319601477,0.6027691504145798,0.7262932555426583,0.30724213606437456
threshold_flags_co2_1000_t18_t24,3,6834,21,3,24,6.957643100002315,0.1643214999930933,7.121964599995408,0.7286027798098025,0.6030666184516699,0.6028080796925018,0.726651818073447,0.3108997805413314
threshold_flags_co2_1000_t18_t24,4,6834,21,3,24,7.463630500002182,0.15870539999741595,7.622335899999598,0.7190929041697147,0.6001562134573396,0.5959079646389074,0.7172849564437671,0.3247988295537674
threshold_flags_co2_1000_t18_t24,5,6834,21,3,24,7.1124628000106895,0.1262911000085296,7.238753900019219,0.7071742313323572,0.5374265618581893,0.5438377402629156,0.7020628907515013,0.3235724743777452
